Name,Weapon Type,Archetype,Slot,WeaponID,Stability,Handling,Range,Aim Assistance,Airborne Effectiveness,Recoil Direction,Zoom,Magazine Size,Impact,Reload Speed,Rounds Per Minute,Draw Time,Accuracy,Charge Time,Velocity,Blast Radius,Shield Duration,Guard Resistance,Guard Efficiency,Swing Speed,Charge Rate,Ocurrences,Voltshot present in any Column,Turnabout present in any Column,High-Impact Reserves present in any Column,Unstoppable Force present in any Column,Flash Counter present in any Column,Perfect Float present in any Column,Clown Cartridge present in any Column,Trench Barrel present in any Column,Zen Moment present in any Column,Chain Reaction present in any Column,Offhand Strike present in any Column,Killing Wind present in any Column,Fragile Focus present in any Column,Multikill Clip present in any Column,Box Breathing present in any Column,Shot Swap present in any Column,Tireless Blade present in any Column,Golden Tricorn present in any Column,Ensemble present in any Column,Successful Warm-Up present in any Column,One-Two Punch present in any Column,Magnificent Howl present in any Column,Thresh present in any Column,Feeding Frenzy present in any Column,Killing Tally present in any Column,Rangefinder present in any Column,Dragonfly present in any Column,No Distractions present in any Column,Field Prep present in any Column,Full Court present in any Column,Focused Fury present in any Column,Tunnel Vision present in any Column,Chill Clip present in any Column,Osmosis present in any Column,Counterattack present in any Column,Explosive Payload present in any Column,Desperado present in any Column,Bait and Switch present in any Column,Master of Arms present in any Column,Genesis present in any Column,Unrelenting present in any Column,Outlaw present in any Column,Slideshot present in any Column,Explosive Light present in any Column,Redirection present in any Column,Shield Disorient present in any Column,Auto-Loading Holster present in any Column,Mulligan present in any Column,Sympathetic Arsenal present in any Column,Explosive Head present in any Column,Triple Tap present in any Column,Archer's Gambit present in any Column,Rewind Rounds present in any Column,Rampage present in any Column,Surplus present in any Column,Elemental Capacitor present in any Column,Demolitionist present in any Column,Tilting at Windmills present in any Column,Wellspring present in any Column,Overflow present in any Column,Cold Steel present in any Column,Adagio present in any Column,Shoot to Loot present in any Column,Duelist's Trance present in any Column,Surrounded present in any Column,Micro-Missile present in any Column,Air Assault present in any Column,Cascade Point present in any Column,Immovable Object present in any Column,Firefly present in any Column,Whirlwind Blade present in any Column,Lasting Impression present in any Column,Tracking Module present in any Column,One for All present in any Column,Threat Detector present in any Column,Swashbuckler present in any Column,Frenzy present in any Column,Iron Gaze present in any Column,Bottomless Grief present in any Column,Full Auto Trigger System present in any Column,Incandescent present in any Column,Iron Grip present in any Column,Adrenaline Junkie present in any Column,Dual Loader present in any Column,Opening Shot present in any Column,Onslaught present in any Column,Headstone present in any Column,Reversal of Fortune present in any Column,Archer's Tempo present in any Column,Underdog present in any Column,Rapid Hit present in any Column,Firmly Planted present in any Column,Assassin's Blade present in any Column,Target Lock present in any Column,Harmony present in any Column,Blunt Execution Rounds present in any Column,Headseeker present in any Column,Recombination present in any Column,Steady Hands present in any Column,Moving Target present in any Column,Iron Reach present in any Column,Compulsive Reloader present in any Column,Pugilist present in any Column,Eye of the Storm present in any Column,Quickdraw present in any Column,Well-Rounded present in any Column,Repulsor Brace present in any Column,Sneak Bow present in any Column,Impulse Amplifier present in any Column,Snapshot Sights present in any Column,Danger Zone present in any Column,Pulse Monitor present in any Column,Kill Clip present in any Column,Adaptive Munitions present in any Column,Encore present in any Column,Celerity present in any Column,Cluster Bomb present in any Column,Fourth Time's the Charm present in any Column,Dynamic Sway Reduction present in any Column,Gutshot Straight present in any Column,Reservoir Burst present in any Column,Perpetual Motion present in any Column,Reconstruction present in any Column,Vorpal Weapon present in any Column,Lead from Gold present in any Column,Heating Up present in any Column,Stats for All present in any Column,Backup Plan present in any Column,Grave Robber present in any Column,Under Pressure present in any Column,Disruption Break present in any Column,En Garde present in any Column,Relentless Strikes present in any Column,Kickstart present in any Column,Firing Line present in any Column,Close to Melee present in any Column,Cornered present in any Column,Subsistence present in any Column,Slickdraw present in any Column,Hip-Fire Grip present in any Column,Under-Over present in any Column,Tap the Trigger present in any Column,Meganeura present in any Column,Timed Payload present in any Column,Ambitious Assassin present in any Column,Energy Transfer present in any Column,Slideways present in any Column,Eager Edge present in any Column,Usage Rate in Slot (%),Global Usage Rate (%),Popularity Category
Frontier's Cry,Hand Cannon,Precision Frame,Primary,1141547457,59,41,42,75,19,94,14,13,78,47,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14260249554367202,0.08045052292839903,Niche
Cold Front,Submachine Gun,Aggressive Frame,Primary,1506719573,7,53,40,29,15,92,14,27,22,19,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07130124777183601,0.04022526146419952,Unpopular
BrayTech Werewolf,Auto Rifle,Precision Frame,Primary,528834068,41,39,69,47,15,74,16,34,29,42,450,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07130124777183601,0.04022526146419952,Unpopular
Farewell,Sidearm,Lightweight Frame,Primary,541188001,40,64,18,71,12,96,12,15,43,49,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.047534165181224004,0.026816840976133013,Unpopular
Planck's Stride,Machine Gun,Rapid-Fire Frame,Power,820890091,33,47,26,63,9,56,16,75,25,57,900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.2963841138114997,0.03352105122016626,Unpopular
Pure Poetry,Hand Cannon,Aggressive Frame,Primary,2671639706,23,26,53,60,15,95,14,8,92,26,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.22578728461081404,0.12737999463663183,Niche
Aachen-LR2,Sniper Rifle,Adaptive Frame,Special,4157959958,36,36,40,56,-1,50,40,4,70,34,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08309098462816784,0.026816840976133013,Unpopular
Allegro-34,Hand Cannon,Adaptive Frame,Primary,2591586260,46,44,34,65,-1,86,14,9,84,36,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023767082590612002,0.013408420488066506,Unpopular
Holless-IV,Combat Bow,Precision Frame,Primary,3651075426,35,45,-1,58,-1,60,18,-1,76,40,-1,684,65,60,-1,-1,-1,-1,-1,-1,-1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047534165181224004,0.026816840976133013,Unpopular
Astral Horizon,Shotgun,Aggressive Frame,Special,1697682876,27,28,24,34,5,62,12,4,80,33,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4154549231408392,0.13408420488066505,Niche
Doom of Chelchis (Harrowed),Scout Rifle,Precision Frame,Primary,1184692845,40,39,49,64,17,76,20,16,62,44,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011883541295306001,0.006704210244033253,Unpopular
Forge's Pledge,Pulse Rifle,Adaptive Frame,Primary,1076810832,52,39,38,61,19,51,17,36,29,42,390,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05941770647653001,0.03352105122016626,Unpopular
The Hero's Burden,Submachine Gun,Adaptive Frame,Primary,1865351684,40,59,44,51,12,93,13,33,20,53,900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.023767082590612002,0.013408420488066506,Unpopular
Fel Taradiddle,Combat Bow,Lightweight Frame,Primary,1399109800,52,65,-1,77,12,58,18,-1,68,60,-1,580,24,80,-1,-1,-1,-1,-1,-1,-1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05941770647653001,0.03352105122016626,Unpopular
Forbearance,Grenade Launcher,Wave Frame,Special,613334176,27,70,-1,79,4,73,13,1,-1,71,72,-1,-1,-1,74,100,-1,-1,-1,-1,-1,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4154549231408392,0.13408420488066505,Niche
Not Forgotten,Hand Cannon,Precision Frame,Primary,153979399,57,35,41,79,10,95,14,10,84,54,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19013666072489602,0.10726736390453205,Niche
Blast Battue,Grenade Launcher,Adaptive Frame,Power,2453357042,38,41,-1,63,6,63,13,6,-1,40,120,-1,-1,-1,38,50,-1,-1,-1,-1,-1,21,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2448132780082988,0.1407884151246983,Niche
Deliverance (Adept),Fusion Rifle,Precision Frame,Special,2943293195,52,32,62,67,9,80,16,6,80,34,-1,-1,-1,780,-1,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.062318238471125886,0.02011263073209976,Unpopular
Waking Vigil,Hand Cannon,Adaptive Frame,Primary,334171687,43,63,37,82,10,98,14,12,84,56,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.19013666072489602,0.10726736390453205,Niche
Harmony-21,Submachine Gun,Adaptive Frame,Primary,3383958216,32,45,33,44,-1,90,13,32,20,46,900,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023767082590612002,0.013408420488066506,Unpopular
Father's Sins,Sniper Rifle,Rapid-Fire Frame,Special,3865728990,31,66,31,73,1,53,35,5,55,55,140,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2285002077274616,0.07374631268436578,Niche
Forensic Nightmare,Submachine Gun,Precision Frame,Primary,1526296434,38,21,50,52,23,91,14,27,25,17,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11883541295306002,0.06704210244033253,Niche
Pardon Our Dust,Grenade Launcher,Lightweight Frame,Special,3849810018,28,68,-1,75,2,77,13,1,-1,69,90,-1,-1,-1,73,100,-1,-1,-1,-1,-1,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3739094308267553,0.12067578439259855,Niche
Posterity,Hand Cannon,Precision Frame,Primary,3281285075,60,36,39,79,22,100,14,13,78,57,180,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19013666072489602,0.10726736390453205,Niche
Riptide,Fusion Rifle,Rapid-Fire Frame,Special,2715240478,31,50,21,31,3,53,15,7,55,45,-1,-1,-1,500,-1,-1,-1,-1,-1,-1,-1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7062733693394266,0.22794314829713058,Niche
Legal Action II,Pulse Rifle,High-Impact Frame,Primary,3409645497,48,24,62,32,10,70,22,28,33,33,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14260249554367202,0.08045052292839903,Niche
Fire and Forget,Linear Fusion Rifle,Aggressive Frame,Power,2272041093,44,27,35,60,7,75,25,5,41,22,-1,-1,-1,533,-1,-1,-1,-1,-1,-1,-1,57,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3787788974510966,0.3821399839098954,Niche
Shayura's Wrath (Adept),Submachine Gun,Precision Frame,Primary,4023807721,44,27,59,60,25,95,15,27,25,24,600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5822935234699941,0.3285063019576294,Niche
Cold Denial,Pulse Rifle,High-Impact Frame,Primary,1216130969,44,24,57,32,10,73,14,28,33,34,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23767082590612004,0.13408420488066505,Niche
